	EmployerName	Address	CompanyNumber	SicCodes	DiffMeanHourlyPercent	DiffMedianHourlyPercent	DiffMeanBonusPercent	DiffMedianBonusPercent	MaleBonusPercent	FemaleBonusPercent	MaleLowerQuartile	FemaleLowerQuartile	MaleLowerMiddleQuartile	FemaleLowerMiddleQuartile	MaleUpperMiddleQuartile	FemaleUpperMiddleQuartile	MaleTopQuartile	FemaleTopQuartile	CompanyLinkToGPGInfo	ResponsiblePerson	EmployerSize	CurrentName	SubmittedAfterTheDeadline	DueDate	DateSubmitted
1793	MMCG (2) LIMITED	"Westcourt, Gelderd Road,
Leeds,
West Yorkshire,
United Kingdom,
LS12 6DB"	10622354	87300	-6.5	0.0	-281.9	0.0	0.6	1.5	19.4	80.6	16.7	83.3	17.2	82.8	18.6	81.4		Jenny Delic (HR Director)	500 to 999	MMCG (2) LIMITED	False	05/04/2019 00:00:00	15/03/2019 11:41:22
1805	MONTPELIERS (EDINBURGH) LIMITED	"29 Queensferry Street,
Edinburgh,
United Kingdom,
EH2 4QS"	SC163913	56302	6.6	0.0	17.6	0.0	15.5	18.3	35.0	65.0	47.0	53.0	66.0	34.0	58.0	42.0	https://www.montpeliers.co.uk/genderpaygap/	Jacqueline Brash (Finance Manager)	250 to 499	MONTPELIERS (EDINBURGH) LIMITED	False	05/04/2019 00:00:00	19/09/2018 13:06:36
1829	MRS RECRUITMENT LIMITED	"Unit E2 Boston Industrial Centre, Norfolk Street,
Boston,
Lincs,
England,
PE21 9HG"	08642015	78200	0.0	0.0	0.0	0.0	0.0	0.0	40.0	60.0	40.0	60.0	30.0	70.0	40.0	60.0		Viktorija Vaitiekune (Managing Director)	250 to 499	MRS RECRUITMENT LIMITED	False	05/04/2019 00:00:00	19/03/2019 09:13:17
1843	NAC MSS LIMITED	"Unit 1, Spire Road,
Washington,
Tyne & Wear,
United Kingdom,
NE37 3ES"	06291102	85320	-17.4	0.0	0.0	0.0	0.0	0.0	83.0	17.0	94.0	6.0	62.0	38.0	75.0	25.0	http://www.nacollege.co.uk/	Lisa Snaith (Chief Operating Officer)	250 to 499	NAC MSS LIMITED	False	05/04/2019 00:00:00	07/03/2019 14:23:52
1846	Nasa Umbrella Ltd	"Tower House,
Fairfax Street,
Bristol,
United Kingdom,
BS1 3BN"	06836385	82990	-0.1	0.0	6.1	-22.1	99.8	100.0	66.3	33.7	71.5	28.5	61.0	39.0	64.5	35.5	https://www.nasagroup.co.uk/gender-pay-reporting	Pippa Elsey (Director)	1000 to 4999	Nasa Umbrella Ltd	False	05/04/2019 00:00:00	20/03/2019 09:01:27
1866	NAVOLIO LIMITED	"4 Chiswell Street,
Ground Floor,
London,
United Kingdom,
EC1Y 4UP"	03760009	"56210,
78200"	6.0	0.0	38.4	-37.3	0.9	0.9	43.6	56.4	46.2	53.8	56.1	43.9	69.9	30.1		Daljit Marwaha (Payroll Manager)	1000 to 4999	NAVOLIO LIMITED	False	05/04/2019 00:00:00	11/03/2019 13:47:42
1877	Nestle UK Ltd.	"1 City Place,
Gatwick,
United Kingdom,
RH6 0PA"	00051491	"10512,
10821,
10890"	0.0	5.0	11.5	-6.0	93.0	87.0	58.0	42.0	74.0	26.0	78.0	22.0	68.0	32.0	https://www.nestle.co.uk/asset-library/documents/2018-nestle-uk-gender-pay-gap-report.pdf	Mark Maurice-Jones (General Counsel Nestlé UK&I)	1000 to 4999	Nestle UK Ltd.	False	05/04/2019 00:00:00	04/03/2019 15:16:39
1882	NEW BEGINNINGS (NORTH EAST) LIMITED	"1, The Meadows,
Newcastle Upon Tyne,
NE3 3NA"	03086013	88100	0.0	0.0	0.0	0.0	100.0	100.0	40.0	60.0	25.0	75.0	31.0	69.0	28.0	72.0	http://www.nbneltd.co.uk	Trevor Gray (Director)	250 to 499	NEW BEGINNINGS (NORTH EAST) LIMITED	False	05/04/2019 00:00:00	11/03/2019 12:14:24
1889	NEW RECRUITS PROFESSIONAL SERVICES LIMITED	"11 Church Lane,
Banbury,
England,
OX16 5LR"	07055014	78200	3.5	0.0	13.3	73.0	50.0	30.0	71.4	28.6	79.7	20.3	75.0	25.0	78.5	21.5		Emma Bowers (Operations Director)	250 to 499	NEW RECRUITS PROFESSIONAL SERVICES LIMITED	False	05/04/2019 00:00:00	22/03/2019 13:01:19
1907	NIGHTINGALE GROUP LIMITED	"Trentham Care Centre,
Longton Road,
Stoke-On-Trent,
Staffordshire,
England,
ST4 8FF"	02109114	86900	14.7	0.0	0.0	0.0	0.0	0.0	17.6	82.4	15.1	84.9	17.8	82.2	24.5	75.5		Tracy Cox (Head of Human Resources)	250 to 499	NIGHTINGALE GROUP LIMITED	False	05/04/2019 00:00:00	18/03/2019 12:55:53
1912	NORTH AYRSHIRE LEISURE LIMITED	"22 Quarry Road,
Irvine,
Scotland,
KA12 0TH"	SC202978	"93110,
93199"	-8.5	0.0	0.0	0.0	0.0	0.0	47.2	52.8	42.1	57.9	44.3	55.7	27.2	72.8		Lorne Campbell (Business Manager (Development))	250 to 499	NORTH AYRSHIRE LEISURE LIMITED	False	05/04/2019 00:00:00	04/01/2019 10:15:07
1916	North East Autism Society	"15 Lumley Court,
Drum Industrial Estate,
Chester Le Street,
Durham,
United Kingdom,
DH2 1AN"	02859620	"85200,
85310,
85320,
87200"	3.2	0.0			0.0	0.0	24.0	76.0	36.0	64.0	36.0	64.0	31.0	69.0	https://www.ne-as.org.uk/our-publications	Maureen Henderson (Head of HR)	500 to 999	North East Autism Society	False	05/04/2019 00:00:00	20/03/2019 08:42:21
1932	NORTHCOTE LEISURE GROUP LIMITED	"Northcote Manor Northcote Road,
Langho,
Blackburn,
Lancashire,
United Kingdom,
BB6 8BE"	08528989	56101	0.6	0.0	3.4	11.7	26.2	21.1	53.1	46.9	45.7	54.3	55.6	44.4	51.2	48.8		Matthew Bye (Director)	250 to 499	NORTHCOTE LEISURE GROUP LIMITED	False	05/04/2019 00:00:00	20/03/2019 15:21:19
1939	Northgate High School	"Sidegate Lane,
Ipswich,
IP4 3DL"		1	5.8	0.0	0.0	0.0	0.0	0.0	38.0	62.0	28.0	72.0	34.0	66.0	33.0	67.0			250 to 499	Northgate High School	False	31/03/2019 00:00:00	25/01/2019 11:01:17
1940	Northgate Restaurants Ltd	"Mcdonalds Restaurant Staduim Retail Park,
Old Seals Way,
Chester,
United Kingdom,
CH1 4RY"	04268921	56102	0.0	0.0	11.0	0.0	9.0	10.0	58.0	42.0	49.0	51.0	48.0	52.0	62.0	38.0		Jeanette Roe (Director)	250 to 499	Northgate Restaurants Ltd	False	05/04/2019 00:00:00	04/03/2019 16:56:18
