,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E12000008,South East,377.1,0.9,396.6,0.8,408.2,0.9,421.6,0.8,445.3,0.8,468.2,0.8,480.8,0.8,494.2,0.8,498.1,0.9,519.7,0.9,536.0,0.8,557.1,1.0,565.9,0.8,574.9,0.7,583.5,0.8,588.6,1.0,587.0,1.1,592.0,0.9,600.0,0.8,611.2,0.9,621.5,0.8
E12000009,South West,346.3,1.3,357.7,1.3,363.3,1.2,380.7,1.4,398.7,1.2,411.3,1.4,426.0,1.1,437.0,1.3,442.7,1.2,456.7,1.1,476.6,1.3,490.4,1.2,498.6,1.3,502.8,1.3,508.0,1.0,506.8,1.2,520.0,1.3,527.0,1.1,531.8,1.0,551.0,1.1,563.4,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,319.4,3.2,333.2,2.8,343.2,2.5,352.7,2.2,362.3,2.4,370.5,2.4,381.8,2.3,400.9,2.7,409.5,2.4,421.6,2.2,421.7,2.2,439.8,2.3,460.0,2.3,455.6,2.7,461.8,2.3,477.7,2.3,479.1,2.3,471.7,2.0,498.3,1.8,503.7,1.9,514.9,1.7
S92000003,Scotland,340.8,1.2,357.1,1.2,370.0,1.3,380.5,1.3,398.2,1.3,414.4,1.3,419.2,1.3,427.4,1.3,444.6,1.3,464.5,1.2,481.5,1.3,504.9,1.2,509.9,1.2,521.4,1.1,517.5,1.1,532.8,1.1,545.6,1.1,558.5,1.1,562.9,1.1,567.3,1.0,579.9,1.0
W92000004,Wales,335.9,1.7,343.6,1.7,350.2,1.6,362.9,1.6,373.7,1.8,383.9,1.8,397.6,1.7,417.7,1.7,425.5,1.6,438.7,1.5,441.0,1.6,463.8,1.8,478.8,1.7,482.8,1.6,482.4,1.5,481.5,1.8,502.0,1.6,501.2,1.5,511.3,1.5,526.6,1.9,525.1,1.6
E92000001,England,360.7,0.3,376.4,0.3,384.7,0.2,402.8,0.2,422.2,0.3,437.2,0.4,452.1,0.3,466.5,0.4,478.4,0.2,492.1,0.3,505.5,0.4,528.8,0.3,538.2,0.2,545.8,0.3,547.4,0.3,553.3,0.3,563.6,0.3,565.4,0.3,574.1,0.2,585.0,0.3,599.4,0.3
K04000001,England and Wales,359.5,0.3,374.9,0.2,385.5,0.3,400.5,0.3,419.4,0.3,433.3,0.3,449.1,0.3,463.0,0.3,475.6,0.3,488.9,0.3,501.3,0.3,526.4,0.3,535.9,0.2,542.5,0.3,543.9,0.3,549.7,0.3,560.1,0.3,561.4,0.3,571.0,0.3,582.0,0.3,595.2,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain,357.6,0.2,373.6,0.2,384.3,0.2,398.9,0.3,417.2,0.3,431.8,0.2,446.6,0.3,460.7,0.2,472.9,0.3,486.7,0.3,500.0,0.2,524.2,0.3,533.7,0.3,540.4,0.3,540.6,0.3,548.3,0.2,558.6,0.3,561.2,0.3,570.0,0.3,580.4,0.3,594.1,0.3
K02000001,United Kingdom,356.9,0.2,372.7,0.2,383.9,0.1,397.7,0.3,415.7,0.2,430.1,0.2,444.6,0.3,460.0,0.2,471.0,0.3,484.3,0.3,498.3,0.2,522.0,0.3,531.0,0.3,537.6,0.2,538.2,0.2,546.0,0.3,556.2,0.3,558.6,0.3,567.2,0.3,577.5,0.3,591.5,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
