,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E12000003,Yorkshire and The Humber,297.8,1.1,313.7,1.1,320.8,1.1,335.0,1.2,345.5,1.0,360.0,0.8,375.6,1.0,389.4,1.0,398.8,0.8,409.0,0.9,422.6,1.1,442.1,1.0,451.0,1.0,460.0,1.0,460.6,0.9,464.5,1.0,479.1,0.9,479.1,0.9,486.2,0.9,498.3,0.9,502.5,0.8
E12000004,East Midlands,302.3,1.1,312.0,1.0,323.8,1.1,330.8,0.9,346.6,1.0,362.3,0.9,379.6,1.2,383.6,1.1,405.2,1.1,419.1,1.0,421.6,1.2,445.1,1.2,456.1,1.0,465.0,1.1,458.3,1.0,464.4,1.1,474.1,1.0,477.1,0.9,479.1,0.9,483.1,0.8,499.4,1.0
E12000005,West Midlands,304.3,0.8,320.4,0.9,329.9,0.8,340.9,0.9,357.9,0.9,366.6,1.0,378.0,0.9,392.0,1.0,402.4,0.9,412.5,1.0,430.1,1.0,448.9,1.0,456.2,0.8,467.4,0.9,464.4,1.0,469.2,1.0,484.5,0.9,479.2,0.8,492.1,0.7,509.8,1.0,514.9,1.0
E12000006,East,323.1,1.1,337.0,1.1,348.3,1.0,358.1,1.0,379.1,1.0,392.6,1.1,407.6,1.0,419.1,1.1,427.7,0.9,440.6,1.0,450.5,1.0,469.1,1.0,478.6,1.0,488.7,0.9,489.3,0.9,495.2,0.8,505.0,1.0,504.1,0.8,516.8,1.0,528.6,0.9,545.5,0.9
E12000007,London,400.0,0.6,419.0,0.6,433.0,0.8,460.0,0.6,479.9,0.6,501.1,0.6,521.4,0.6,537.4,0.6,555.9,0.8,569.2,0.7,586.3,0.8,613.3,0.7,627.4,0.6,642.2,0.7,648.4,0.6,652.1,0.6,654.8,0.6,660.0,0.7,659.7,0.6,670.8,0.6,692.5,0.6
E12000008,South East,333.0,0.8,350.3,0.8,360.8,0.8,377.3,0.9,398.3,0.7,419.9,0.8,434.8,0.8,447.2,0.7,450.4,0.7,469.0,0.8,481.9,0.7,500.9,0.8,513.3,0.7,523.8,0.7,529.0,0.7,536.6,0.7,536.6,0.7,541.7,0.6,552.0,0.6,565.4,0.8,574.9,0.6
E12000009,South West,303.6,1.0,314.8,1.0,323.9,1.0,336.0,1.1,352.3,1.1,364.9,1.1,382.0,1.0,392.6,1.0,400.0,1.0,413.7,1.0,429.6,1.1,446.9,1.1,454.0,0.8,460.3,1.0,461.5,0.9,467.4,1.0,480.0,0.8,485.5,0.9,492.1,0.9,505.8,1.0,520.0,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,286.7,2.0,298.1,1.8,310.5,2.0,320.2,2.1,330.5,2.1,342.0,1.9,352.0,1.9,372.6,2.0,385.2,1.8,402.5,1.8,400.3,1.6,417.7,1.7,437.1,1.9,437.3,1.9,444.7,1.7,457.6,1.9,463.6,1.5,460.0,1.6,484.7,1.5,493.6,1.5,501.2,1.5
S92000003,Scotland,301.3,1.0,313.8,1.1,329.0,0.9,338.4,1.1,355.1,1.1,371.7,1.1,381.3,1.0,390.4,1.1,408.6,1.1,428.1,0.9,441.7,1.0,462.6,1.0,472.8,0.9,488.0,0.8,485.0,0.8,497.7,0.8,508.7,0.9,519.6,0.9,527.0,0.8,534.5,0.9,547.3,0.8
W92000004,Wales,300.5,1.5,308.9,1.5,316.8,1.4,327.5,1.4,341.3,1.4,349.4,1.4,363.6,1.6,381.3,1.5,389.7,1.4,400.0,1.4,404.3,1.6,420.1,1.5,440.4,1.4,450.8,1.2,451.3,1.2,452.5,1.2,470.5,1.2,473.9,1.4,478.6,1.5,493.7,1.4,498.4,1.3
E92000001,England,325.0,0.3,339.4,0.3,347.8,0.3,364.4,0.2,381.7,0.3,396.5,0.3,410.6,0.3,425.0,0.3,436.0,0.3,449.8,0.3,463.6,0.3,483.9,0.2,495.0,0.3,504.5,0.2,504.0,0.3,512.6,0.3,520.3,0.2,523.5,0.2,531.6,0.3,544.2,0.3,555.8,0.2
K04000001,England and Wales,323.6,0.3,337.9,0.3,348.4,0.3,362.6,0.3,379.6,0.2,393.9,0.2,407.9,0.3,422.5,0.2,434.1,0.2,446.9,0.3,460.0,0.2,480.8,0.2,491.9,0.3,502.3,0.2,501.5,0.2,508.9,0.3,518.4,0.1,520.5,0.3,528.8,0.2,541.1,0.3,552.9,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain,321.5,0.2,335.8,0.2,346.3,0.2,360,0.3,377.4,0.3,392.2,0.2,405.2,0.2,420.3,0.2,431.7,0.2,444.8,0.2,459.3,0.2,479.1,0.1,489.9,0.2,500.3,0.2,500.0,0.2,507.9,0.2,517.6,0.2,520.4,0.3,528.5,0.2,540.1,0.2,552.3,0.3
K02000001,United Kingdom,320.5,0.3,334.9,0.2,345.5,0.1,359,0.3,375.9,0.3,390.9,0.3,404,0.2,419.2,0.3,431.2,0.2,443.6,0.2,457.6,0.3,479.1,0.1,488.5,0.2,498.5,0.2,498.3,0.1,506.1,0.2,517.4,0.2,518.3,0.2,527.1,0.2,538.6,0.2,550.4,0.2
